structure_name,reaction,energy_ts,energy_first,energy_last,e_affinity,en_pauling,ion_pot,d_radius,d_filling,d_center,d_width,d_skewness,d_kurtosis,sp_filling,d_density,sp_density,work_func,n_coord
"Cu_100_HCO[s]=CO[s]+H[s]_brg[Cu.8,Cu.8]_4fh[Cu.8,Cu.8,Cu.8,Cu.8]_4fh[Cu.8,Cu.8,Cu.8,Cu.8]-00",HCO[s]=CO[s]+H[s],0.2751224993219239,0.1534594496581576,-0.4278324454396625,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,9.0
"Cu_100_HCO[s]=CO[s]+H[s]_top[Cu.8]_brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]-00",HCO[s]=CO[s]+H[s],0.27429486508049195,0.10394330259737217,-0.4289543708043766,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,8.0
"Cu+Zn1_100_HCO[s]=CO[s]+H[s]_top[Zn.8]_brg[Cu.8,Zn.8]-brg[Cu.8,Zn.8]-00",HCO[s]=CO[s]+H[s],0.23408324257911772,0.0754416909869633,-0.36908129894140984,0.6175,1.775,8.5602895,1.1949999999999998,9.25687974035922,-4.679083900768277,1.2061942587919428,6.366670466378215,64.94358991170806,1.0093940838888749,0.05694424999999999,0.323020415625,4.746688688055812,8.0
"Co+Pt1_100_HCO[s]=CO[s]+H[s]_top[Pt.8]_brg[Co.8,Pt.8]-brg[Co.8,Pt.8]-00",HCO[s]=CO[s]+H[s],0.06477904627831776,-0.8351908075462688,-1.4768200007208634,1.39512823,2.04,8.419920000000001,1.23,8.149131031652862,-1.942951654853001,1.8296876987870356,0.7364877895165594,4.052199017057523,0.8404364422548123,0.9310971875,0.20400238124999998,4.770232054279438,8.0
"Pd_100_HCO[s]=CO[s]+H[s]_brg[Pd.8,Pd.8]_4fh[Pd.8,Pd.8,Pd.8,Pd.8]_4fh[Pd.8,Pd.8,Pd.8,Pd.8]-00",HCO[s]=CO[s]+H[s],-0.7790329059396299,-0.7790295045167568,-1.567085875406292,0.5620000000000002,2.1999999999999997,8.33686,1.28,9.148879053457225,-1.4667224610166432,1.4312186382676646,1.460336410847331,10.191348387455058,0.008103447449999997,2.299833333333334,0.0010565944444444445,5.34502139937185,8.0
"Pd_100_HCO[s]=CO[s]+H[s]_top[Pd.8]_brg[Pd.8,Pd.8]_brg[Pd.8,Pd.8]-00",HCO[s]=CO[s]+H[s],-0.5387080861953564,-0.8687107426055718,-0.8179004221353807,0.5620000000000002,2.1999999999999997,8.33686,1.28,9.148879053457225,-1.4667224610166432,1.4312186382676646,1.460336410847331,10.191348387455058,0.008103447449999997,2.299833333333334,0.0010565944444444445,5.34502139937185,8.0
"Cu_111_HCO[s]=CO[s]+H[s]_top[Cu.9]_3fh[Cu.9,Cu.9,Cu.9]_3fh[Cu.9,Cu.9,Cu.9]-00",HCO[s]=CO[s]+H[s],0.4548683839195746,0.13706622358154164,-0.31979522413598716,1.235,1.9000000000000001,7.72638,1.18,9.620286738422221,-2.278896074335635,1.5201788097891833,3.5865293857318727,22.7305842468166,0.8961955947777778,0.13006500000000001,0.21907765,4.950431811220809,8.0
"Cu+Zn1_111_HCO[s]=CO[s]+H[s]_top[Zn.9]_3fh[Cu.9,Cu.9,Zn.9]-3fh[Cu.9,Cu.9,Zn.9]-00",HCO[s]=CO[s]+H[s],0.39456999810795423,0.015416507488453135,-0.5151446604475041,0.6175,1.775,8.5602895,1.1949999999999998,9.634473783026081,-4.7033234513722775,1.2760983311138072,6.218634036119928,61.16864265047881,1.0892753124928873,0.0379179375,0.18326509375,4.922073978003959,9.0
"Pd_111_HCO[s]=CO[s]+H[s]_top[Pd.9]_3fh[Pd.9,Pd.9,Pd.9]_3fh[Pd.9,Pd.9,Pd.9]-00",HCO[s]=CO[s]+H[s],-0.45295562770184006,-0.7734888585807767,-1.4549636811468645,0.5620000000000002,2.1999999999999997,8.33686,1.28,9.287273833446603,-1.515964252512883,1.5045430005999791,1.506322231608673,10.157575179368859,0.009154134410888894,2.2091666666666665,0.001381272222222222,5.431491029400675,9.0
"Pd+Rh1_111_HCO[s]=CO[s]+H[s]_top[Rh.9]_3fh[Pd.9,Pd.9,Rh.9]-3fh[Pd.9,Pd.9,Rh.9]-00",HCO[s]=CO[s]+H[s],-1.137428056322051,-1.3475234776094567,-1.955094902744122,0.8495000000000001,2.2399999999999998,7.89788,1.2650000000000001,8.693896230950752,-1.4448900541568679,1.622134784206295,1.2274447206267445,8.352424887217765,0.011495667531875002,3.8192500000000003,0.0018236125000000002,5.439038525191307,9.0
"Cu_100_HCO[ss]=CO[s]+H[s]_brg[Cu.8,Cu.8]-brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]-00",HCO[ss]=CO[s]+H[s],0.27556291556834367,0.1536405414183264,-0.42833776084148667,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,9.0
